subject,signal_length,true_change_points,predicted_change_points,precision,recall,f1
7,19776,11,15,0.3333333333333333,0.45454545454545453,0.3846153846153846
28,24512,13,11,0.45454545454545453,0.38461538461538464,0.41666666666666663
3,21888,11,18,0.2222222222222222,0.36363636363636365,0.27586206896551724
22,20608,13,18,0.3333333333333333,0.46153846153846156,0.3870967741935484
15,21056,11,23,0.34782608695652173,0.7272727272727273,0.4705882352941176
