threshold,precision,recall,f1
0.3,0.13714847641184133,0.9772727272727273,0.23956806303901107
0.35,0.14777399229486515,0.9772727272727273,0.2555922305976618
0.39999999999999997,0.1558187481993662,0.9772727272727273,0.2674359306754951
0.44999999999999996,0.1672230536050036,0.9772727272727273,0.28415490831269585
0.49999999999999994,0.17749422106035623,0.9545454545454546,0.297263253206482
0.5499999999999999,0.19375169221917624,0.9545454545454546,0.31972092051847695
0.5999999999999999,0.20943028229672395,0.9318181818181819,0.33941100191100193
0.6499999999999999,0.2309514777675155,0.8924242424242425,0.3642454333428287
0.7,0.25995461381945884,0.8924242424242425,0.39967149252863543
0.7499999999999999,0.273021723021723,0.8469696969696969,0.4102012118316466
0.7999999999999998,0.2916540404040404,0.8015151515151515,0.4249851455733809
0.8499999999999999,0.30965245016787796,0.7621212121212122,0.4385239560940655
0.8999999999999999,0.3812200956937799,0.6772727272727272,0.48508158508158505
0.9499999999999998,0.41944444444444445,0.42878787878787883,0.4224543572369659
