epoch,train_loss,val_loss
1,1.1031526813123518,0.8793671646080217
2,0.8381515490180613,0.7459622634320248
3,0.7503410794889687,0.7068305787968779
4,0.6758285062949444,0.850125426701299
5,0.6307799630071389,0.6319982128166116
6,0.6027601186655993,0.6236615911334383
7,0.5722032006986616,0.693573054781629
8,0.5328210541872918,0.6172676304474721
9,0.5358058521472994,0.7386143891012608
10,0.5152506149991992,0.6629221599360309
11,0.5014049648230647,0.661730121025394
12,0.4727889538437836,0.6286593296083863
13,0.44326506775056423,0.6324222183918748
